file_name,sentence
audio/chunk_0001.wav,"không được đang một an a một id kia,,,,"
audio/chunk_0002.wav,"Và khi mà hệ điều hành nó cấp phát"
audio/chunk_0003.wav,"Lưu trữ cho file, file system nó có thể thay đổi kích thước mà"
audio/chunk_0004.wav,"Khi nó có thể nó nhỏ, cũng sẽ nó lớn dần lên"
audio/chunk_0005.wav,"Đầu tiên lưu trữ ít, sau đó trỏ nhiều với mình vậy"
audio/chunk_0006.wav,"Thì hệ điều hành bắt đầu nó sẽ bắt đầu bằng cách nó tự"
audio/chunk_0007.wav,"nó nó, chỗ như là nó"
audio/chunk_0008.wav,"thành những cái data blockkkkk"
audio/chunk_0009.wav,"là một phân đoạn nào của data blockkkkk"
audio/chunk_0010.wav,"thì lúc tôi giảng bài"
audio/chunk_0011.wav,"thì tôi có nói cái ế"
audio/chunk_0012.wav,"làm thế nào, hay điều hành"
audio/chunk_0013.wav,"nè, quyết định được, cấp phát, lưu trợ phài, tâm mơ, thì có 2 cắt. Cách thứ nhất là cấp phát"
audio/chunk_0014.wav,"nguyên 1 lần, tập tin, gì đó."
audio/chunk_0015.wav,"Phương án này, trên thực tế là, nó không có tối ưu, bởi vì file này, đâu phải file nào,"
audio/chunk_0016.wav,"nó cũng 100MB đâu"
audio/chunk_0017.wav,"mà mình cắt phải 100MB như vậy thì là lãng phí"
audio/chunk_0018.wav,"cho nên mình sẽ trọng cái phương án"
audio/chunk_0019.wav,"tôi hỏi thứ hai là"
audio/chunk_0020.wav,"các blockkkkk allocation của mình là nhiều"
audio/chunk_0021.wav,"pointer, 1 blockkkkk thì bởi là 1, 1 mơ 8 mơ 4 mơ 16 mơ 200 cái partition,"
audio/chunk_0022.wav,"phải cái partition nó quan trọng cho nó thể hiện cái clustering structure."
audio/chunk_0023.wav,"Nếu mà chúng ta cấp cái phát, cấp phát, từng blockkkk với nha nhỏ,"
audio/chunk_0024.wav,"tình nó sẽ rời rạc trong cái ưu tính của chúng ta,"
audio/chunk_0025.wav,"thì chúng ta khi mà chúng ta truy xuất file, nó sẽ rất chậm,"
audio/chunk_0026.wav,"1 cái cắt, mà hệ điều hành cấp phát, dữ liệu file."
audio/chunk_0027.wav,"Mọi người để 1 cái data blockkkkk này nó có thể lớn nhỏ, tùy hệ thống nhỏ, tùy lớn nhỏ."
audio/chunk_0028.wav,"Nó có thể 1 kí, nó có thể 4 kí kiểu vậy."
audio/chunk_0029.wav,"Thậm chí là 1 số thầy, và nó có thể 8MB, 4MB, 8MB, 16MB."
audio/chunk_0030.wav,"Phổ biến nhất là 13"
audio/chunk_0031.wav,"Tôi cũng viết sẵn 1 con số 13"
audio/chunk_0032.wav,"Không có thể là 1 số đấy, thấy nó 12 thôi"
audio/chunk_0033.wav,"Còn trỏ khi mà người biết rồi nó địa chỉ, nó chỉ là"
audio/chunk_0034.wav,"kích thước địa chỉ"
audio/chunk_0035.wav,"Vui vụ như là hại thống mà 32 bit, thì nó là..."
audio/chunk_0036.wav,"64-bit thì nó 8 bytes."
audio/chunk_0037.wav,"Như vậy, nếu mà tôi lấy ví dụ là 10 cái..."
audio/chunk_0038.wav,"Cái đa, cái cái..."
audio/chunk_0039.wav,"Để chỉ trực tiếp, một trọng trực tiếp này, 10 cái trọng trực tiếp,"
audio/chunk_0040.wav,"trực tiếp inode này, nó chỉ tốn một chút dung lượng."
audio/chunk_0041.wav,"Bộ nhớ quá, nó tầm là..."
audio/chunk_0042.wav,"Nếu nó là hại thống, chúng ta 64-bit."
audio/chunk_0043.wav,"bình thường như vầy thì nó tắt cho bài thôi, nó cộng thêm 3"
audio/chunk_0044.wav,"3 con trỏ gián tiếp nửa, nó cộng là xin ngưu indirect, đốc bồ indirect, trịp bồ indirect, nó là 3 cái địa chỉ gián tiếp"
audio/chunk_0045.wav,"nhưng mà tính chung là 1 cái inode thì nó khoảng 15 con trỏ"
audio/chunk_0046.wav,"Bởi địa chỉ tám bài thì 15,8 đúng không?"
audio/chunk_0047.wav,"Bình thường cái bài nó không lưu thì nó chỉ tốt 153 thôi mọi người."
audio/chunk_0048.wav,"Nhưng nó có những cái bài lưu trữ, những cái phần khác, của nó?"
audio/chunk_0049.wav,"Nhưng cái phần nó sắp cho người phần lưu trữ dữ liệu thôi."
audio/chunk_0050.wav,"Thì nó chỉ có những con trọng như vậy."
audio/chunk_0051.wav,"Đồ khi bắt đầu nó lưu trữ thì sao?"
audio/chunk_0052.wav,"Thì lưu trữ bây giờ nó yêu cầu hệ điều hành cấp phát cho nó."
audio/chunk_0053.wav,"Tám cái data blockkkkk trực tiếp."
audio/chunk_0054.wav,"Thì nó đẹp, nó đẻ inode, direct 0 là mồ của đa tạm lóc."
audio/chunk_0055.wav,"Thì direct, direct mà chật tiếp mà, nó chỉ rô mồ của đa tạm lóc."
audio/chunk_0056.wav,"thì tám blockkkkk có kích thước?"
audio/chunk_0057.wav,"có kích thước, bịu tám blockkkkk cho mình hình,"
audio/chunk_0058.wav,"nó có thể là 1 ký đây, 1 ký,"
audio/chunk_0059.wav,"là tạm ký, mình lưu cái file tối đa tạm ký,"
audio/chunk_0060.wav,"nó tăng lên 10 ký,"
audio/chunk_0061.wav,"hệ điều hành cho các phạt thêm blockkkkk,"
audio/chunk_0062.wav,"nó khi khi file lớn hơn,"
audio/chunk_0063.wav,"Thì đó là lúc đó là tính chất con trỏ trực tiếp này nó không còn có thể lưu trợ được nửa đồ đồ không?"
audio/chunk_0064.wav,"13 kỳ ta ta blockkkkk tính ra mỗi blockkkkk 1KB là 13KB thôi hả?"
audio/chunk_0065.wav,"Thì bắt đầu nó bắt đầu dùng 3 con trỏ gián tiếp này, gian tiếp này, gian tiếp."
audio/chunk_0066.wav,"thì các đồng chí, cái data structure của cái con trỏ gián tiếp này single indirect, triple indirect và triple indirect nè rét nè rét nè, nó ra sao?"
audio/chunk_0067.wav,"Thì những cái nó chỉ là một con trỏ thôi, nhưng mà nó không trỏ trực tiếp tới cái đa tạp loch, mà nó trỏ trực tiếp tới pointer blockkkkk."
audio/chunk_0068.wav,"sự khác biệt của pointer blockkkkk của datablockkkkk là gì?"
audio/chunk_0069.wav,"sự khác biệt của hai cái này là Pointer blockkkkk không dùng lưu dữ liệu."
audio/chunk_0070.wav,"Nó là chỉ lưu, chỉ lưu, chỉ lưu, chỉ lưu con chỏ."
audio/chunk_0071.wav,"Để trỏ tới Datablockkkkk thôi."
audio/chunk_0072.wav,"Điểm giống nhau nhau nhau nhau nhau của Datablockkkkk và Pointer blockkkkk là hai thằng này kích thước bằng nhau."
audio/chunk_0073.wav,"Đó là 1KB, thầy pointer, blockkkkk cũng 1KB."
audio/chunk_0074.wav,"1KB, 1KB, vẫn dễ dàng, suy luận ra được là tổng số, blockkkkk là 1KB bài."
audio/chunk_0075.wav,"Nếu hệ thống, ví dụ hệ thống là xong từ biết, tổng số, tổng số, tổng số, tổng số."
audio/chunk_0076.wav,"tương ứng như mỗi con trọng nó sẽ trọng tới nhiêu 1 data blockkkkk thôi"
audio/chunk_0077.wav,"như vậy, đi vào sinh go, indirect"
audio/chunk_0078.wav,"nó trọng ở tới 1 cái trọng tới 1"
audio/chunk_0079.wav,"trong 1 tờ blockkkk này, tính là 1 tí 3 đi"
audio/chunk_0080.wav,"tính là 1 tí 3 thì con trỏ 1KB"
audio/chunk_0081.wav,"đúng không? Nếu con trỏ tạm bài, thì tính thực tế số lượng con trỏ trong con trỏ"
audio/chunk_0082.wav,"con trỏ tạm bài thôi. 1 blockkkkk kích thước 4KB, 8KB. Đúng không?"
audio/chunk_0083.wav,"1,8,8 con trỏ đúng không?"
audio/chunk_0084.wav,"128 thì nhanh cho 1 kỳ và 128 con trỏ"
audio/chunk_0085.wav,"Single indirect có thể lưu trữ được thêm 128 con trỏ nữa"
audio/chunk_0086.wav,"Double indirect thì nó sẽ trỏ tương tự cũng chọn tới 1 kỳ"
audio/chunk_0087.wav,"pointer blockkkkk blockkkkk giống như indirect"
audio/chunk_0088.wav,"những cái con trọng bên trong pointer blockkkkk blok này"
audio/chunk_0089.wav,"nó chưa chỉ trỏ tới"
audio/chunk_0090.wav,"mà nó trỏ tới pointer blockkkkk blok tiếp"
audio/chunk_0091.wav,"các phép toán tương tự như vậy"
audio/chunk_0092.wav,"pointer blockkkkk blok này cho nó trỏ tới"
audio/chunk_0093.wav,"Poy tờ blockkkkk, vì bản thân mỗi con trỏ là 1 cái Poy tờ blockkkkk"
audio/chunk_0094.wav,"Tự bình mối cùng 2% 1% 8% tờ blockkkkk"
audio/chunk_0095.wav,"Mỗi pointer tờ blockkkkk tiếp tục trỏ tới"
audio/chunk_0096.wav,"datablockkkkk, tự bình mối cùng 1% 8% 1% 8%"
audio/chunk_0097.wav,"Đi vậy, xấu lượng của Data blockkkkk 128 nhanh, Nên 1K3."
audio/chunk_0098.wav,"công thức của chiếc double."
audio/chunk_0099.wav,"Thì nó đâu đó khoảng tầm 128 Chia 2 là 64, chia 2 là 32."
audio/chunk_0100.wav,"Đối với triple thì đã có tương tự như vậy。"
audio/chunk_0101.wav,"children, triple, for thôi, trỏ tới."
audio/chunk_0102.wav,"Trỏ tới 4TBBBBB, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 16T, 18T, 16T, 18T, 16T, 18T, 18T, 18T, 18T, 16T, 16T, 18T, 18T, 18T, 18T, 18T, 18T, 16T, 17T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T, 18T."
audio/chunk_0103.wav,"Nhỏ, nhỏ, nhưng với lại một cái bài thì nó ra được cái cơ thước."
audio/chunk_0104.wav,"Tất nhiệt là khi cái file này là phần ra, nó lớn lên, thì phải hình tiếp tục tốc phát cái đại tạm blockkkkk"
audio/chunk_0105.wav,"cho cái inode này, nó lớn lên. Như dự dựng, mà nó cũng có cái giới hạn không?"
audio/chunk_0106.wav,"Nó có giới hạn, maximum file size file này, chính maximum file size cái file này chính là tổng, không?"
audio/chunk_0107.wav,"Số, blockkkkk, đại tạm file blockkkkk mà nó có, đúng không?"
audio/chunk_0108.wav,"Đại tạm blockkkkk, có những cái 1 ký bài, mình hòn có thể tính được cái maximum file size file xai này."
audio/chunk_0109.wav,"Thì mà người có thể thấy trong thực tế thì khi mà mình phục mát thì ở cứng, theo cái giảng đình giảng phát, phát bà 2 phát xong tư, là một số cái đình giảng đó, thì đẹp thích thức file nó đều có bị giới hàng, đối đa là bao nhiêu đó, bụng định giải hàng, bụng định, lưu lớn hơn, thì đại thấy giới hàng nó không có lưu được hơn nữa."
audio/chunk_0110.wav,"Nó cái file mà 5 git, 6 git nó tự chối,"
